player_id,name,stats_url,year,overall_winrate,citizen_winrate,sheriff_winrate,mafia_winrate,don_winrate,total_games,citizen_games,sheriff_games,mafia_games,don_games,extra_points_avg_10_games,extra_points_mafia_avg,extra_points_don_avg,extra_points_citizen_avg,extra_points_sheriff_avg,overall_rank,citizen_rank,sheriff_rank,mafia_rank,don_rank,overall_score,player_category,region
1115,РФ,https://gomafia.pro/stats/1115,2023,54,43,53,77,73,466,279,49,90,48,1.65,0.25,0.25,0.12,0.18,2.0,174.0,3.0,2.0,10.0,19.889280428198106,Expert,central
1115,РФ,https://gomafia.pro/stats/1115,2024,56,48,43,74,80,589,361,47,110,71,1.69,0.23,0.29,0.13,0.16,1.0,72.0,95.0,4.0,2.0,20.25001565370488,Expert,central
159,Градиент,https://gomafia.pro/stats/159,2023,54,47,33,77,79,522,304,70,91,57,1.64,0.25,0.27,0.13,0.12,5.0,61.0,152.0,1.0,2.0,19.45648732213943,Expert,central
159,Градиент,https://gomafia.pro/stats/159,2024,54,47,51,69,70,452,268,53,88,43,1.78,0.25,0.27,0.14,0.16,3.0,104.0,21.0,15.0,23.0,19.183119241346468,Expert,central
993,Арривидерчи,https://gomafia.pro/stats/993,2023,54,45,36,74,80,419,249,44,82,44,1.39,0.22,0.25,0.1,0.08,6.0,117.0,141.0,7.0,3.0,18.89434127606659,Expert,central
993,Арривидерчи,https://gomafia.pro/stats/993,2024,52,49,33,72,55,238,141,30,47,20,1.34,0.22,0.15,0.11,0.09,101.0,84.0,282.0,26.0,250.0,15.975407645242681,Expert,central
266,BWDMoscow,https://gomafia.pro/stats/266,2023,57,48,39,75,81,434,240,49,97,48,1.56,0.24,0.26,0.11,0.09,3.0,49.0,100.0,4.0,1.0,19.72276339071628,Expert,central
266,BWDMoscow,https://gomafia.pro/stats/266,2024,49,43,65,63,58,334,222,23,63,26,1.46,0.2,0.16,0.13,0.19,36.0,264.0,6.0,89.0,180.0,17.314018657997455,Expert,central
1544,Кэтти,https://gomafia.pro/stats/1544,2023,54,49,38,65,64,299,163,26,77,33,1.22,0.17,0.17,0.09,0.1,36.0,45.0,157.0,47.0,48.0,16.98791270518065,Expert,central
1544,Кэтти,https://gomafia.pro/stats/1544,2024,55,51,48,67,60,426,248,44,92,42,1.29,0.18,0.16,0.11,0.08,14.0,33.0,51.0,25.0,100.0,18.295125184446874,Expert,central
1041,Loki,https://gomafia.pro/stats/1041,2023,55,46,50,76,69,469,278,42,104,45,1.39,0.21,0.21,0.1,0.12,4.0,81.0,15.0,3.0,21.0,19.47499320081597,Expert,central
1041,Loki,https://gomafia.pro/stats/1041,2024,49,42,44,61,68,496,289,59,101,47,1.27,0.18,0.23,0.1,0.09,26.0,319.0,71.0,77.0,26.0,17.612624477707683,Expert,central
279,007,https://gomafia.pro/stats/279,2023,52,46,47,71,61,559,344,64,94,57,1.09,0.17,0.17,0.09,0.09,9.0,79.0,16.0,9.0,42.0,18.58314866900068,Expert,central
279,007,https://gomafia.pro/stats/279,2024,51,47,37,64,72,569,345,63,114,47,1.23,0.18,0.19,0.1,0.1,16.0,99.0,155.0,41.0,10.0,18.110783655133176,Expert,central
789,Растишка,https://gomafia.pro/stats/789,2023,51,45,41,69,65,578,350,64,116,48,1.28,0.2,0.17,0.1,0.09,11.0,104.0,62.0,18.0,29.0,18.164743802450452,Expert,central
789,Растишка,https://gomafia.pro/stats/789,2024,49,45,36,67,57,642,383,72,129,58,1.28,0.2,0.16,0.11,0.09,38.0,169.0,165.0,17.0,103.0,17.22128340952515,Expert,central
333,Тихий Закат,https://gomafia.pro/stats/333,2023,52,44,41,73,71,500,295,56,98,51,1.29,0.19,0.19,0.11,0.09,7.0,141.0,71.0,6.0,15.0,18.75494176776511,Expert,central
333,Тихий Закат,https://gomafia.pro/stats/333,2024,48,40,36,58,76,243,140,25,45,33,1.17,0.15,0.22,0.09,0.09,91.0,523.0,249.0,258.0,11.0,16.08042476426086,Expert,central
754,Феномен,https://gomafia.pro/stats/754,2023,49,40,49,74,62,383,245,39,70,29,1.37,0.24,0.22,0.1,0.1,17.0,320.0,33.0,8.0,72.0,17.66031438202487,Expert,central
754,Феномен,https://gomafia.pro/stats/754,2024,46,40,33,59,62,240,137,21,56,26,1.3,0.18,0.17,0.11,0.1,200.0,519.0,296.0,189.0,134.0,14.88625362689596,Expert,central
999,Unicef,https://gomafia.pro/stats/999,2023,51,42,43,64,73,429,234,47,103,45,1.3,0.18,0.22,0.09,0.12,13.0,227.0,59.0,43.0,14.0,17.997627197021604,Expert,central
999,Unicef,https://gomafia.pro/stats/999,2024,52,45,38,65,80,549,331,56,103,59,1.43,0.2,0.26,0.11,0.11,7.0,173.0,145.0,35.0,3.0,18.795511875428552,Expert,central
173,Смайлик,https://gomafia.pro/stats/173,2023,48,41,41,59,75,416,249,41,82,44,0.94,0.15,0.18,0.07,0.08,31.0,281.0,89.0,108.0,9.0,17.332455708629407,Expert,central
173,Смайлик,https://gomafia.pro/stats/173,2024,44,38,24,61,64,436,272,37,85,42,0.97,0.18,0.17,0.07,0.05,167.0,615.0,365.0,91.0,62.0,15.223487576655035,Expert,central
258,Флай,https://gomafia.pro/stats/258,2023,51,49,34,61,55,433,255,35,99,44,1.03,0.14,0.12,0.08,0.13,56.0,34.0,169.0,72.0,102.0,16.272170974004755,Expert,central
258,Флай,https://gomafia.pro/stats/258,2024,45,39,46,57,56,569,345,46,112,66,1.11,0.15,0.14,0.09,0.12,76.0,514.0,66.0,148.0,105.0,16.409381743111183,Expert,central
1112,Казанская,https://gomafia.pro/stats/1112,2023,52,46,45,68,58,335,193,33,71,38,1.11,0.19,0.17,0.08,0.07,33.0,96.0,64.0,29.0,80.0,17.219342418560544,Expert,central
1112,Казанская,https://gomafia.pro/stats/1112,2024,51,48,13,83,25,72,42,8,18,4,0.86,0.22,0.03,0.04,0.05,738.0,360.0,439.0,58.0,439.0,11.730281737305543,Expert,central
1636,h0wk,https://gomafia.pro/stats/1636,2023,48,44,41,51,68,376,216,37,83,40,1.14,0.15,0.19,0.09,0.06,53.0,153.0,98.0,261.0,24.0,16.33700881470254,Expert,central
1636,h0wk,https://gomafia.pro/stats/1636,2024,47,40,36,69,58,237,149,22,54,12,1.26,0.2,0.16,0.1,0.08,196.0,509.0,265.0,39.0,301.0,14.902543203753513,Expert,central
