player_id,name,stats_url,year,overall_winrate,citizen_winrate,sheriff_winrate,mafia_winrate,don_winrate,total_games,citizen_games,sheriff_games,mafia_games,don_games,extra_points_avg_10_games,extra_points_mafia_avg,extra_points_don_avg,extra_points_citizen_avg,extra_points_sheriff_avg
1115,РФ,https://gomafia.pro/stats/1115,2023,54,43,53,77,73,,279 (60%),49 (11%),90 (19%),48 (10%),1.65,0.25,0.25,0.12,0.18
1115,РФ,https://gomafia.pro/stats/1115,2024,56,48,43,74,80,,361 (61%),47 (8%),110 (19%),71 (12%),1.69,0.23,0.29,0.13,0.16
159,Градиент,https://gomafia.pro/stats/159,2023,54,47,33,77,79,,304 (58%),70 (13%),91 (17%),57 (11%),1.64,0.25,0.27,0.13,0.12
159,Градиент,https://gomafia.pro/stats/159,2024,54,47,51,69,70,,268 (59%),53 (12%),88 (19%),43 (10%),1.78,0.25,0.27,0.14,0.16
993,Арривидерчи,https://gomafia.pro/stats/993,2023,54,45,36,74,80,,249 (59%),44 (11%),82 (20%),44 (11%),1.39,0.22,0.25,0.1,0.08
993,Арривидерчи,https://gomafia.pro/stats/993,2024,52,49,33,72,55,,141 (59%),30 (13%),47 (20%),20 (8%),1.34,0.22,0.15,0.11,0.09
266,BWDMoscow,https://gomafia.pro/stats/266,2023,57,48,39,75,81,,240 (55%),49 (11%),97 (22%),48 (11%),1.56,0.24,0.26,0.11,0.09
266,BWDMoscow,https://gomafia.pro/stats/266,2024,49,43,65,63,58,,222 (66%),23 (7%),63 (19%),26 (8%),1.46,0.2,0.16,0.13,0.19
1544,Кэтти,https://gomafia.pro/stats/1544,2023,54,49,38,65,64,,163 (55%),26 (9%),77 (26%),33 (11%),1.22,0.17,0.17,0.09,0.1
1544,Кэтти,https://gomafia.pro/stats/1544,2024,55,51,48,67,60,,248 (58%),44 (10%),92 (22%),42 (10%),1.29,0.18,0.16,0.11,0.08
1041,Loki,https://gomafia.pro/stats/1041,2023,55,46,50,76,69,,278 (59%),42 (9%),104 (22%),45 (10%),1.39,0.21,0.21,0.1,0.12
1041,Loki,https://gomafia.pro/stats/1041,2024,49,42,44,61,68,,289 (58%),59 (12%),101 (20%),47 (9%),1.27,0.18,0.23,0.1,0.09
279,007,https://gomafia.pro/stats/279,2023,52,46,47,71,61,,344 (62%),64 (11%),94 (17%),57 (10%),1.09,0.17,0.17,0.09,0.09
279,007,https://gomafia.pro/stats/279,2024,51,47,37,64,72,,345 (61%),63 (11%),114 (20%),47 (8%),1.23,0.18,0.19,0.1,0.1
789,Растишка,https://gomafia.pro/stats/789,2023,51,45,41,69,65,,350 (61%),64 (11%),116 (20%),48 (8%),1.28,0.2,0.17,0.1,0.09
789,Растишка,https://gomafia.pro/stats/789,2024,49,45,36,67,57,,383 (60%),72 (11%),129 (20%),58 (9%),1.28,0.2,0.16,0.11,0.09
333,Тихий Закат,https://gomafia.pro/stats/333,2023,52,44,41,73,71,,295 (59%),56 (11%),98 (20%),51 (10%),1.29,0.19,0.19,0.11,0.09
333,Тихий Закат,https://gomafia.pro/stats/333,2024,48,40,36,58,76,,140 (58%),25 (10%),45 (19%),33 (14%),1.17,0.15,0.22,0.09,0.09
754,Феномен,https://gomafia.pro/stats/754,2023,49,40,49,74,62,,245 (64%),39 (10%),70 (18%),29 (8%),1.37,0.24,0.22,0.1,0.1
754,Феномен,https://gomafia.pro/stats/754,2024,46,40,33,59,62,,137 (57%),21 (9%),56 (23%),26 (11%),1.3,0.18,0.17,0.11,0.1
999,Unicef,https://gomafia.pro/stats/999,2023,51,42,43,64,73,,234 (55%),47 (11%),103 (24%),45 (10%),1.3,0.18,0.22,0.09,0.12
999,Unicef,https://gomafia.pro/stats/999,2024,52,45,38,65,80,,331 (60%),56 (10%),103 (19%),59 (11%),1.43,0.2,0.26,0.11,0.11
173,Смайлик,https://gomafia.pro/stats/173,2023,48,41,41,59,75,,249 (60%),41 (10%),82 (20%),44 (11%),0.94,0.15,0.18,0.07,0.08
173,Смайлик,https://gomafia.pro/stats/173,2024,44,38,24,61,64,,272 (62%),37 (8%),85 (19%),42 (10%),0.97,0.18,0.17,0.07,0.05
258,Флай,https://gomafia.pro/stats/258,2023,51,49,34,61,55,,255 (59%),35 (8%),99 (23%),44 (10%),1.03,0.14,0.12,0.08,0.13
258,Флай,https://gomafia.pro/stats/258,2024,45,39,46,57,56,,345 (61%),46 (8%),112 (20%),66 (12%),1.11,0.15,0.14,0.09,0.12
1112,Казанская,https://gomafia.pro/stats/1112,2023,52,46,45,68,58,,193 (58%),33 (10%),71 (21%),38 (11%),1.11,0.19,0.17,0.08,0.07
1112,Казанская,https://gomafia.pro/stats/1112,2024,51,48,13,83,25,,42 (58%),8 (11%),18 (25%),4 (6%),0.86,0.22,0.03,0.04,0.05
1636,h0wk,https://gomafia.pro/stats/1636,2023,48,44,41,51,68,,216 (57%),37 (10%),83 (22%),40 (11%),1.14,0.15,0.19,0.09,0.06
1636,h0wk,https://gomafia.pro/stats/1636,2024,47,40,36,69,58,,149 (63%),22 (9%),54 (23%),12 (5%),1.26,0.2,0.16,0.1,0.08
721,Insight,https://gomafia.pro/stats/721,2023,49,43,28,70,67,,159 (61%),25 (10%),53 (20%),24 (9%),1.29,0.22,0.23,0.09,0.08
721,Insight,https://gomafia.pro/stats/721,2024,48,46,17,57,72,,136 (62%),18 (8%),47 (21%),18 (8%),1.36,0.18,0.24,0.11,0.08
1409,EZY BLACK,https://gomafia.pro/stats/1409,2023,47,40,36,59,69,,216 (59%),33 (9%),74 (20%),42 (12%),0.98,0.12,0.19,0.08,0.06
1409,EZY BLACK,https://gomafia.pro/stats/1409,2024,50,44,39,63,73,,360 (57%),77 (12%),126 (20%),64 (10%),1.24,0.18,0.17,0.11,0.08
17,Крёстный Отец,https://gomafia.pro/stats/17,2023,52,50,29,60,65,,123 (62%),17 (9%),35 (18%),23 (12%),1.24,0.19,0.24,0.09,0.09
17,Крёстный Отец,https://gomafia.pro/stats/17,2024,52,44,32,76,70,,267 (61%),41 (9%),84 (19%),47 (11%),1.49,0.27,0.26,0.11,0.06
889,rdrk,https://gomafia.pro/stats/889,2023,49,42,35,67,67,,134 (59%),23 (10%),48 (21%),21 (9%),1.23,0.17,0.21,0.09,0.12
889,rdrk,https://gomafia.pro/stats/889,2024,43,40,35,51,50,,165 (57%),34 (12%),51 (18%),40 (14%),1.14,0.15,0.17,0.09,0.11
2106,NobodyDie,https://gomafia.pro/stats/2106,2023,46,37,40,61,62,,136 (56%),20 (8%),61 (25%),26 (11%),1.01,0.15,0.1,0.08,0.08
2106,NobodyDie,https://gomafia.pro/stats/2106,2024,53,44,57,71,70,,55 (62%),7 (8%),17 (19%),10 (11%),1.18,0.16,0.22,0.1,0.04
264,ДаФомин,https://gomafia.pro/stats/264,2023,49,46,32,61,57,,134 (59%),22 (10%),59 (26%),14 (6%),1.01,0.14,0.11,0.09,0.07
264,ДаФомин,https://gomafia.pro/stats/264,2024,50,47,42,57,58,,318 (58%),50 (9%),113 (21%),64 (12%),1.12,0.15,0.13,0.1,0.09
67,Стоников,https://gomafia.pro/stats/67,2023,45,38,39,64,51,,205 (57%),44 (12%),75 (21%),35 (10%),1.14,0.18,0.14,0.1,0.07
67,Стоников,https://gomafia.pro/stats/67,2024,52,43,56,73,67,,205 (62%),36 (11%),62 (19%),30 (9%),1.4,0.23,0.2,0.11,0.12
1114,Цыпа,https://gomafia.pro/stats/1114,2023,48,48,23,54,72,,110 (58%),26 (14%),35 (19%),18 (10%),0.98,0.14,0.16,0.09,0.04
1114,Цыпа,https://gomafia.pro/stats/1114,2024,50,47,40,65,52,,172 (61%),30 (11%),49 (17%),31 (11%),1.21,0.18,0.14,0.1,0.14
1435,MSR,https://gomafia.pro/stats/1435,2023,46,36,24,78,70,,187 (64%),25 (9%),54 (18%),27 (9%),1.04,0.21,0.19,0.07,0.05
1435,MSR,https://gomafia.pro/stats/1435,2024,46,42,20,62,65,,170 (63%),25 (9%),47 (18%),26 (10%),1.13,0.16,0.22,0.09,0.06
951,Ирония,https://gomafia.pro/stats/951,2023,44,38,40,55,65,,141 (63%),15 (7%),44 (20%),23 (10%),0.76,0.14,0.14,0.05,0.08
951,Ирония,https://gomafia.pro/stats/951,2024,44,39,43,57,53,,93 (64%),7 (5%),30 (21%),15 (10%),0.88,0.16,0.13,0.06,0.07
1543,Klimka,https://gomafia.pro/stats/1543,2023,51,48,40,50,85,,79 (60%),15 (11%),24 (18%),13 (10%),0.98,0.13,0.15,0.09,0.05
1543,Klimka,https://gomafia.pro/stats/1543,2024,50,42,54,71,31,,69 (53%),13 (10%),34 (26%),13 (10%),0.87,0.17,0.02,0.06,0.06
1237,_Moon_,https://gomafia.pro/stats/1237,2023,46,38,43,60,67,,94 (56%),21 (12%),42 (25%),12 (7%),0.79,0.11,0.13,0.06,0.06
1237,_Moon_,https://gomafia.pro/stats/1237,2024,33,29,0,67,50,,7 (47%),3 (20%),3 (20%),2 (13%),0.67,0.13,0.15,0.04,0
1250,Sonya Blade,https://gomafia.pro/stats/1250,2023,47,41,42,61,54,,131 (58%),19 (8%),49 (22%),26 (12%),1,0.16,0.15,0.07,0.08
1250,Sonya Blade,https://gomafia.pro/stats/1250,2024,56,52,56,74,50,,81 (69%),9 (8%),19 (16%),8 (7%),1.21,0.22,0.14,0.1,0.08
330,Зажигалочка,https://gomafia.pro/stats/330,2023,52,42,58,71,43,,66 (57%),12 (10%),31 (27%),7 (6%),1.15,0.18,0.14,0.08,0.11
330,Зажигалочка,https://gomafia.pro/stats/330,2024,53,35,29,94,100,,46 (61%),7 (9%),17 (22%),6 (8%),1.3,0.26,0.23,0.08,0.06
1776,Грозный,https://gomafia.pro/stats/1776,2023,56,50,58,56,78,,78 (58%),12 (9%),27 (20%),18 (13%),1.06,0.11,0.21,0.09,0.04
1776,Грозный,https://gomafia.pro/stats/1776,2024,46,36,31,69,67,,146 (61%),16 (7%),49 (20%),30 (12%),1.16,0.17,0.17,0.09,0.1
227,Freedom,https://gomafia.pro/stats/227,2023,42,40,22,70,46,,149 (70%),23 (11%),27 (13%),13 (6%),1.02,0.19,0.15,0.09,0.07
227,Freedom,https://gomafia.pro/stats/227,2024,45,37,67,45,64,,73 (56%),12 (9%),31 (24%),14 (11%),1.18,0.12,0.18,0.09,0.19
1551,arye,https://gomafia.pro/stats/1551,2023,56,48,67,56,100,,33 (58%),3 (5%),16 (28%),5 (9%),1.32,0.18,0.18,0.1,0.17
1551,arye,https://gomafia.pro/stats/1551,2024,52,37,40,89,60,,63 (57%),10 (9%),28 (25%),10 (9%),1.59,0.27,0.18,0.12,0.08
2463,Джесс,https://gomafia.pro/stats/2463,2023,58,43,60,90,90,,65 (65%),5 (5%),20 (20%),10 (10%),1.3,0.22,0.23,0.09,0.14
2463,Джесс,https://gomafia.pro/stats/2463,2024,47,37,47,70,67,,271 (62%),43 (10%),86 (20%),39 (9%),1.01,0.18,0.2,0.06,0.08
620,Шум,https://gomafia.pro/stats/620,2023,50,46,23,71,60,,101 (64%),13 (8%),28 (18%),15 (10%),1.2,0.23,0.17,0.09,0.05
620,Шум,https://gomafia.pro/stats/620,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
2022,Мол4ун,https://gomafia.pro/stats/2022,2023,52,40,33,80,77,,73 (56%),15 (11%),30 (23%),13 (10%),1.11,0.23,0.19,0.06,0.06
2022,Мол4ун,https://gomafia.pro/stats/2022,2024,48,34,38,79,70,,38 (51%),13 (17%),14 (19%),10 (13%),1.09,0.21,0.2,0.06,0.06
2494,Статистика,https://gomafia.pro/stats/2494,2023,50,46,44,67,52,,166 (65%),18 (7%),39 (15%),31 (12%),0.69,0.11,0.13,0.05,0.08
2494,Статистика,https://gomafia.pro/stats/2494,2024,43,37,27,57,61,,204 (62%),26 (8%),63 (19%),36 (11%),0.84,0.16,0.13,0.06,0.06
1123,Tssss,https://gomafia.pro/stats/1123,2023,52,55,36,52,55,,82 (59%),14 (10%),31 (22%),11 (8%),1.18,0.13,0.08,0.12,0.09
1123,Tssss,https://gomafia.pro/stats/1123,2024,60,56,50,75,0,,9 (60%),2 (13%),4 (27%),0 (0%),0.53,0.13,0,0,0.15
1125,Игрок 9,https://gomafia.pro/stats/1125,2023,50,40,45,71,82,,75 (62%),11 (9%),24 (20%),11 (9%),1.14,0.18,0.23,0.08,0.05
1125,Игрок 9,https://gomafia.pro/stats/1125,2024,53,45,63,67,66,,255 (58%),59 (13%),87 (20%),41 (9%),1.47,0.2,0.21,0.12,0.13
2593,Физик,https://gomafia.pro/stats/2593,2023,47,43,27,57,69,,101 (62%),11 (7%),35 (21%),16 (10%),0.71,0.07,0.1,0.07,0.08
